Instrument,Date
000069.SZ,2023-12-01
000069.SZ,2023-12-29
000069.SZ,2024-01-02
000069.SZ,2024-01-31
000069.SZ,2024-02-01
000069.SZ,2024-02-29
000069.SZ,2024-03-01
000069.SZ,2024-03-29
000069.SZ,2024-04-01
000069.SZ,2024-04-30
000069.SZ,2024-05-06
000069.SZ,2024-05-31
000069.SZ,2024-06-03
000100.SZ,2016-01-29
000100.SZ,2016-02-29
000100.SZ,2016-03-31
000100.SZ,2016-04-29
000100.SZ,2016-05-31
000100.SZ,2016-06-30
000100.SZ,2016-07-29
000100.SZ,2016-08-31
000100.SZ,2016-09-30
000100.SZ,2016-10-31
000100.SZ,2016-11-30
000100.SZ,2016-12-30
000100.SZ,2017-01-26
000100.SZ,2017-02-28
000100.SZ,2017-03-31
000100.SZ,2017-04-28
000100.SZ,2017-05-31
000100.SZ,2017-06-30
000100.SZ,2017-07-31
000100.SZ,2017-08-31
000100.SZ,2017-09-29
000100.SZ,2017-10-31
000100.SZ,2017-11-30
000100.SZ,2017-12-29
000100.SZ,2018-01-31
000100.SZ,2018-02-28
000100.SZ,2018-03-30
000100.SZ,2018-04-27
000100.SZ,2018-05-31
000100.SZ,2018-06-29
000100.SZ,2018-07-31
000100.SZ,2018-08-31
000100.SZ,2018-09-28
000100.SZ,2018-10-31
000100.SZ,2018-11-30
000100.SZ,2018-12-28
000100.SZ,2019-01-31
000100.SZ,2019-02-28
000100.SZ,2019-03-29
000100.SZ,2019-04-30
000100.SZ,2019-05-31
000100.SZ,2019-06-28
000100.SZ,2019-07-31
000100.SZ,2019-08-30
000100.SZ,2019-09-30
000100.SZ,2019-10-31
000100.SZ,2019-11-29
000100.SZ,2019-12-31
000100.SZ,2020-01-02
000100.SZ,2020-01-23
000100.SZ,2020-02-28
000100.SZ,2020-03-31
000100.SZ,2020-04-01
000100.SZ,2020-04-30
000100.SZ,2020-05-06
000100.SZ,2020-05-29
000100.SZ,2020-06-01
000100.SZ,2020-06-03
000100.SZ,2020-06-04
000100.SZ,2020-06-05
000100.SZ,2020-06-08
000100.SZ,2020-06-30
000100.SZ,2020-07-01
000100.SZ,2020-07-31
000100.SZ,2020-08-03
000100.SZ,2020-08-31
000100.SZ,2020-09-01
000100.SZ,2020-09-30
000100.SZ,2020-10-09
000100.SZ,2020-10-30
000100.SZ,2020-11-02
000100.SZ,2020-11-30
000100.SZ,2020-12-01
000100.SZ,2020-12-31
000100.SZ,2021-01-04
000100.SZ,2021-01-29
000100.SZ,2021-02-01
000100.SZ,2021-02-26
000100.SZ,2021-03-01
000100.SZ,2021-03-31
000100.SZ,2021-04-01
000100.SZ,2021-04-30
000100.SZ,2021-05-06
000100.SZ,2021-05-31
000100.SZ,2021-06-01
000100.SZ,2021-06-30
000100.SZ,2021-07-01
000100.SZ,2021-07-30
000100.SZ,2021-08-02
000100.SZ,2021-08-31
000100.SZ,2021-09-01
000100.SZ,2021-09-30
000100.SZ,2021-10-08
000100.SZ,2021-10-29
000100.SZ,2021-11-01
000100.SZ,2021-11-30
000100.SZ,2021-12-01
000100.SZ,2021-12-31
000100.SZ,2022-01-04
000100.SZ,2022-01-28
000100.SZ,2022-02-07
000100.SZ,2022-02-28
000100.SZ,2022-03-01
000100.SZ,2022-03-31
000100.SZ,2022-04-01
000100.SZ,2022-04-29
000100.SZ,2022-05-05
000100.SZ,2022-05-31
000100.SZ,2022-06-01
000100.SZ,2022-06-30
000100.SZ,2022-07-01
000100.SZ,2022-07-29
000100.SZ,2022-08-01
000100.SZ,2022-08-31
000100.SZ,2022-09-01
000100.SZ,2022-09-30
000100.SZ,2022-10-10
000100.SZ,2022-10-31
000100.SZ,2022-11-01
000100.SZ,2022-11-30
000100.SZ,2022-12-01
